segment,trend
Start-a,Up
a-a,Down
a-a,Down
a-e,Up
e-e,Up
e-a,Down
a-a,Down
a-h,Up
h-e,Up
e-a,Down
a-a,Down
a-b,Down
b-h,Up
h-h,Up
h-a,Up
a-a,Down
a-e,Up
e-e,Up
e-a,Up
a-a,Down
a-a,Down
a-b,Down
b-a,Down
a-a,Down
a-a,Up
a-e,Up
e-a,Down
a-a,Down
a-h,Up
h-e,Up
e-e,Up
e-a,Up
a-a,Down
a-a,Up
a-a,Down
a-e,Up
e-a,Down
a-e,Up
e-e,Up
e-a,Down
a-a,Down
a-a,Down
a-e,Up
e-e,Up
e-e,Up
e-a,Down
a-a,Down
a-e,Down
e-e,Up
e-a,Down
a-a,Down
a-e,Up
e-a,Down
a-e,Up
e-a,Down
a-e,Up
e-e,Up
e-a,Down
a-a,Down
a-e,Down
e-a,Down
a-a,Up
a-a,Up
a-e,Up
e-b,Down
b-a,Down
a-e,Up
e-b,Down
b-e,Up
e-a,Down
a-a,Down
a-e,Up
e-a,Down
a-h,Up
h-a,Down
a-a,Down
a-a,Down
a-a,Down
a-a,Down
a-h,Up
h-b,Down
b-a,Down
a-e,Up
e-a,Up
a-a,Down
a-e,Up
e-e,Up
e-a,Down
a-b,Down
b-a,Down
a-e,Up
e-e,Up
e-e,Up
e-a,Down
a-a,Down
a-a,Down
a-a,Down
a-a,Down
a-a,Down
a-e,Up
e-a,Down
a-e,Up
e-b,Down
b-e,Up
e-a,Down
a-a,Down
a-a,Down
a-e,Up
e-a,Down
a-a,Up
a-a,Down
a-a,Down
a-e,Up
e-a,Down
a-a,Down
a-e,Up
e-a,Down
a-e,Up
e-a,Down
a-e,Up
e-a,Down
a-c,Equal
c-a,Down
a-a,Down
a-a,Down
a-a,Equal
a-a,Down
a-c,Equal
c-a,Down
a-a,Down
a-a,Down
a-b,Down
b-a,Down
a-a,Down
a-e,Up
e-a,Down
a-a,Down
a-e,Up
e-a,Down
a-h,Up
h-a,Down
a-e,Up
e-a,Down
a-a,Down
a-e,Down
e-h,Up
h-a,Down
a-e,Up
e-e,Up
e-a,Equal
a-a,Down
a-a,Down
a-a,Down
a-a,Down
a-a,Down
a-e,Up
e-a,Down
a-e,Up
e-e,Up
e-e,Up
e-b,Down
b-e,Up
e-b,Down
b-a,Down
a-e,Up
e-a,Down
a-a,Equal
a-a,Down
a-e,Up
e-d,Down
d-a,Down
a-e,Up
e-b,Down
b-e,Up
e-a,Down
a-a,Down
a-a,Up
a-e,Up
e-e,Up
e-e,Up
e-a,Down
a-e,Up
e-e,Up
e-b,Down
b-a,Down
a-a,Down
a-a,Down
a-a,Down
a-a,Up
a-b,Down
b-a,Down
a-a,Down
a-a,Down
a-e,Up
e-a,Down
a-h,Up
h-a,Down
a-a,Down
a-e,Up
e-a,Down
a-h,Up
h-a,Down
a-e,Up
e-b,Down
b-e,Up
e-e,Up
e-a,Down
a-a,Down
a-e,Down
e-e,Up
e-a,Down
a-a,Down
a-e,Up
e-a,Down
a-a,Down
a-b,Down
b-e,Up
e-e,Up
e-b,Down
b-h,Up
h-a,Down
a-e,Up
e-e,Up
e-a,Down
a-h,Up
h-a,Down
a-e,Up
e-e,Up
e-e,Up
e-a,Down
a-a,Down
a-a,Up
a-h,Up
h-a,Down
a-e,Up
e-a,Up
a-e,Up
e-e,Up
e-a,Down
a-e,Up
e-a,Down
a-b,Down
b-a,Down
a-f,Up
f-a,Down
a-a,Down
a-e,Up
e-a,Down
a-a,Down
a-e,Up
e-e,Up
e-a,Down
a-e,Up
e-a,Down
a-e,Up
