date,op,hp,lp,cp
22.05.2023,40.21,40.63,39.9,40.03
23.05.2023,40.12,40.6,39.45,40.09
24.05.2023,40.16,40.34,39.5,39.73
25.05.2023,39.7,39.88,38.81,39.17
26.05.2023,39.05,39.48,39.01,39.31
29.05.2023,39.5,39.83,39.25,39.64
30.05.2023,39.45,39.69,38.12,39.29
31.05.2023,39.27,39.31,38.82,39.1
01.06.2023,39.02,39.59,39.02,39.28
02.06.2023,39.36,39.57,39.15,39.49
05.06.2023,39.62,40.18,38.32,39.16
06.06.2023,38.77,39.24,38.14,38.7
07.06.2023,38.87,38.87,38.26,38.37
08.06.2023,38.29,38.69,38.29,38.54
09.06.2023,38.47,38.83,38.47,38.55
13.06.2023,38.83,38.97,38.51,38.82
14.06.2023,38.9,38.98,38.4,38.61
15.06.2023,38.73,39.87,38.6,39.86
16.06.2023,39.98,40.99,39.68,40.59
19.06.2023,40.72,40.89,40.12,40.71
20.06.2023,40.83,40.98,40.13,40.51
21.06.2023,40.73,40.85,40.3,40.49
22.06.2023,40.55,40.55,39.76,39.9
23.06.2023,39.71,39.83,38.82,39.08
26.06.2023,39.2,39.5,38.4,38.92
27.06.2023,39.1,39.34,38.47,39.09
28.06.2023,39.27,39.95,39.09,39.49
29.06.2023,39.6,39.69,39.1,39.32
30.06.2023,39.4,39.45,39.0,39.23
03.07.2023,39.25,39.91,39.25,39.63
04.07.2023,39.69,40.35,39.42,40.0
05.07.2023,40.16,41.43,40.08,41.28
06.07.2023,41.46,41.99,40.81,41.4
07.07.2023,41.51,41.73,41.0,41.15
10.07.2023,41.41,41.6,41.15,41.35
11.07.2023,41.34,41.4,40.61,41.01
12.07.2023,41.1,41.7,41.0,41.5
13.07.2023,41.68,41.69,40.97,41.16
14.07.2023,41.27,42.2,41.0,41.97
17.07.2023,41.97,42.9,41.88,42.86
18.07.2023,42.9,43.05,42.4,42.68
19.07.2023,42.7,42.88,41.92,42.38
20.07.2023,42.46,42.49,41.41,41.49
21.07.2023,41.49,41.8,41.11,41.55
24.07.2023,41.87,43.55,41.55,43.21
25.07.2023,43.29,43.78,42.91,43.4
26.07.2023,43.47,43.6,42.6,43.12
27.07.2023,43.2,43.6,42.57,43.02
28.07.2023,42.94,43.35,42.68,42.98
31.07.2023,43.2,44.23,43.15,44.18
01.08.2023,44.5,44.85,43.46,44.07
02.08.2023,44.03,44.49,43.8,43.95
03.08.2023,44.0,44.12,43.5,44.02
04.08.2023,44.1,44.9,42.09,42.77
07.08.2023,42.99,43.74,42.5,43.14
08.08.2023,43.0,43.07,42.08,42.85
09.08.2023,42.85,43.37,42.62,43.15
10.08.2023,43.0,43.5,42.91,43.4
11.08.2023,43.1,43.34,42.65,43.05
14.08.2023,43.25,44.8,42.56,42.85
15.08.2023,42.26,43.43,41.97,42.54
